Ecuador,6
Sri Lanka,5
Congo River,5
Irrawaddy River,5
Lake Nicaragua,5
Sicily,5
Bolivia,5
Madagascar,5
Utah,5
Alaska,4
Tasmania,4
Estonia,4
Rio de Janeiro,4
Guatemala,4
Senegal,4
Nicaragua,4
Prague,4
Snake River,4
Hokkaido,4
Pakistan,4
,3
Sumatra,3
Cameroon,3
Luzon,3
Kuala Lumpur,3
Tierra del Fuego,3
Portugal,3
Fiji,3
Australia,3
Nepal,3
Wyoming,3
Rhine,3
Solomon Islands,3
Peru,3
Xinjiang,3
Indonesia,3
Sweden,3
Danube,3
Mexico City,3
Iran,3
Idaho,3
Kazakhstan,3
Tanzania,3
Saskatchewan,3
Zambezi,3
Taiwan,3
Botswana,3
Yosemite National Park,3
Baghdad,3
Nile,3
Lake Chad,3
Azerbaijan,3
Mackenzie River,3
Edinburgh,3
Yellow River,3
Lake Superior,3
Copenhagen,3
Crete,3
Canada,2
Carpathian Mountains,2
Atlanta,2
Sonora,2
Tajikistan,2
Turkey,2
Mekong,2
Louisiana,2
Central African Republic,2
Nevada,2
Lake Victoria,2
Istanbul,2
Wales,2
Nigeria,2
Limpopo River,2
Appalachian Mountains,2
Outer Banks,2
Borneo,2
Suriname,2
Dresden,2
North Sea,2
Mount Kenya,2
Lake of the Woods,2
Puntland,2
Pyrenees,2
Mexico,2
Tennessee,2
Manitoba,2
Brazil,2
Hamburg,2
Dubai,2
British Columbia,2
Miami,2
Oman,2
Guayaquil,2
Greenland,2
Equatorial Guinea,2
Lake Baikal,2
Seville,2
Mongolia,2
Tagus,2
Bali,2
Hungary,2
Beirut,2
K2,2
Gotland,2
Adriatic Sea,2
Colorado,2
Trinidad,2
Iceland,2
Guyana,2
Red Sea,2
Kiev,2
Paris,2
Lake Malawi,2
Dune,2
Chimborazo,2
Taklamakan Desert,2
Arkansas River,2
Great Salt Lake,2
Gobi Desert,2
Sydney,2
Seychelles,2
Atlas Mountains,2
Oregon,2
Serengeti,2
Çatalhöyük,2
Euboea,2
Panama,2
Denali,2
Luxembourg,2
Aleppo,2
Gibraltar,2
Arizona,2
El Salvador,2
Queensland,2
Thailand,2
Toronto,2
Moldova,2
New Brunswick,2
New Guinea,2
Buenos Aires,2
Zimbabwe,2
Budapest,2
Persian Gulf,2
Maine,2
Lagos,2
Paraguay,2
Washington (state),2
Cambodia,2
San Francisco,2
Deccan Plateau,2
New Zealand,2
Orinoco,2
New Mexico,2
Bangladesh,2
Lake Tanganyika,2
Hainan,2
Cuba,2
Yunnan,2
Ivory Coast,2
Chile,2
Alps,2
Croatia,2
Beijing,2
The Hague,2
Baltic Sea,2
Malta,2
South China Sea,2
Tibet,2
Melbourne,2
Northern Territory,2
Galápagos Islands,2
Wabash,1
Copán,1
Strait of Hormuz,1
Dam,1
Slum,1
Apache,1
Dominica,1
Rhodes,1
Uranium ore,1
Vancouver Island,1
"El Paso, Texas",1
South Australia,1
Sahel,1
Macau,1
Lake Okeechobee,1
Cascade Range,1
Delaware River,1
South Korea,1
Seattle,1
Abydos,1
Malay Peninsula,1
Ellsworth Mountains,1
Nauru,1
Zapotec,1
Ural Mountains,1
San Diego,1
North Country (New York),1
Waterfall,1
Padua,1
Black Sea,1
Prince Edward Island,1
Libya,1
Mount Kilimanjaro,1
Ibiza,1
Liechtenstein,1
Marriage,1
Ohio,1
Sengwa River,1
Katanga,1
Pikes Peak,1
Tahrir Square,1
Victoria,1
List of High Commissioners of the United Kingdom to Papua New Guinea,1
Crimea,1
Los Angeles River,1
"Kansas City, Missouri",1
Pamir Mountains,1
Archangel,1
Grand Teton National Park,1
Providence,1
Yangon,1
Nice,1
Columbia River,1
Lake Volta,1
Baja California,1
Cork,1
Adirondack Mountains,1
List of Republic of the Congo films,1
Lake Michigan,1
"Myrtle Beach, South Carolina",1
Hong Kong,1
Butter,1
Quasi-War,1
Philippines,1
Korean Demilitarized Zone,1
Gulf of Venezuela,1
Montreal,1
Yerevan,1
Chesapeake Bay,1
Simpson Desert,1
Kosovo,1
Santa Catalina,1
Sacramento River,1
Boston,1
Lake Maracaibo,1
Paraguay River,1
Wakhan Corridor,1
Uranium,1
Point Reyes,1
Kerala,1
Algarve,1
Kingdom of the Netherlands,1
Banana,1
Hudson Bay,1
Yalta,1
Phoenix,1
Coral reef,1
Munich,1
Christmas,1
Borobudur,1
Shikoku,1
Diego Garcia,1
Cotentin Peninsula,1
English Channel,1
Lena River,1
Sarajevo,1
Syria,1
Serbia,1
Indian Ocean,1
Andaman Islands,1
North Korea,1
Mobile Bay,1
Hebrides,1
Darién Gap,1
Vistula,1
White,1
Sao Paulo,1
Halifax,1
Texas,1
Carthage,1
Cape Verde,1
"Sacramento, California",1
Trobriand Islands,1
Spain,1
"Boulder, Colorado",1
Badlands,1
Volga River,1
Phnom Penh,1
Ulster,1
Rome,1
Green River,1
Taipei,1
Cairo,1
Puncak Jaya,1
Lesotho,1
Milan,1
Bryce Canyon National Park,1
Chihuahua,1
Red River of the South,1
Sulawesi,1
Calgary,1
Cyclone,1
Michigan,1
China,1
"Reno, Nevada",1
Erie Canal,1
Harmandir Sahib,1
Nunavut,1
Ukraine,1
Great Dividing Range,1
Glacier National Park,1
Penobscot River,1
Sequoiadendron giganteum,1
United States,1
Indo-European languages,1
Dead Sea,1
Wallace Line,1
Bulgaria,1
Chad,1
South Africa,1
Baku,1
Kalahari Desert,1
Ebro,1
Uganda,1
Niger,1
Lake Kivu,1
Belfast,1
Red River,1
Bavaria,1
Black,1
Medina,1
White Mountains,1
Baffin Island,1
Bruges,1
